canonical_entry,canonical_group,canonical_sample,canonical_clip_id,canonical_zone,target_entry,target_group,target_sample,target_clip_id,target_zone,usa_payload_bytes,jp_payload_bytes,max_payload_bytes
24,0,7,0a80,0,24,0,7,0a80,0,3840,5648,5648
24,0,7,0a80,0,25,0,7,0a80,0,3840,5648,5648
24,0,7,0a80,0,868,0,7,0a80,0,3840,5648,5648
24,0,7,0a80,0,869,0,7,0a80,0,3840,5648,5648
24,0,7,0a80,0,1480,0,7,0a80,0,3840,5648,5648
24,0,7,0a80,0,1481,0,7,0a80,0,3840,5648,5648
24,0,8,0a81,0,24,0,8,0a81,0,3120,6320,6320
24,0,8,0a81,0,25,0,8,0a81,0,3120,6320,6320
24,0,8,0a81,0,868,0,8,0a81,0,3120,6320,6320
24,0,8,0a81,0,869,0,8,0a81,0,3120,6320,6320
24,0,8,0a81,0,1480,0,8,0a81,0,3120,6320,6320
24,0,8,0a81,0,1481,0,8,0a81,0,3120,6320,6320
24,0,9,0a82,0,24,0,9,0a82,0,7616,9024,9024
24,0,9,0a82,0,25,0,9,0a82,0,7616,9024,9024
24,0,9,0a82,0,868,0,9,0a82,0,7616,9024,9024
24,0,9,0a82,0,869,0,9,0a82,0,7616,9024,9024
24,0,9,0a82,0,1480,0,9,0a82,0,7616,9024,9024
24,0,9,0a82,0,1481,0,9,0a82,0,7616,9024,9024
24,1,7,0a83,0,24,1,7,0a83,0,3728,4272,4272
24,1,7,0a83,0,25,1,7,0a83,0,3728,4272,4272
24,1,7,0a83,0,868,1,7,0a83,0,3728,4272,4272
24,1,7,0a83,0,869,1,7,0a83,0,3728,4272,4272
24,1,7,0a83,0,1480,1,7,0a83,0,3728,4272,4272
24,1,7,0a83,0,1481,1,7,0a83,0,3728,4272,4272
24,1,8,0a84,0,24,1,8,0a84,0,3968,4576,4576
24,1,8,0a84,0,25,1,8,0a84,0,3968,4576,4576
24,1,8,0a84,0,868,1,8,0a84,0,3968,4576,4576
24,1,8,0a84,0,869,1,8,0a84,0,3968,4576,4576
24,1,8,0a84,0,1480,1,8,0a84,0,3968,4576,4576
24,1,8,0a84,0,1481,1,8,0a84,0,3968,4576,4576
24,1,9,0a85,0,24,1,9,0a85,0,6576,6576,6576
24,1,9,0a85,0,25,1,9,0a85,0,6576,6576,6576
24,1,9,0a85,0,868,1,9,0a85,0,6576,6576,6576
24,1,9,0a85,0,869,1,9,0a85,0,6576,6576,6576
24,1,9,0a85,0,1480,1,9,0a85,0,6576,6576,6576
24,1,9,0a85,0,1481,1,9,0a85,0,6576,6576,6576
