bank,sub,resource,voice_scene,message_id,scene,scene_line,speaker,context,confidence,evidence,notes
1482,0,1297,1170,918,1,1,Heimdall,,confirmed,scene voice_scene/voice_slot,
1482,1,1297,1170,925,1,2,Heimdall,,confirmed,scene voice_scene/voice_slot,
1482,2,1297,1170,920,1,3,Heimdall,,confirmed,scene voice_scene/voice_slot,
1482,3,1297,1170,921,1,4,Rufus,,confirmed,scene voice_scene/voice_slot,
1482,4,1297,1170,922,1,5,Heimdall,,confirmed,scene voice_scene/voice_slot,
1482,5,1297,1170,923,1,6,Rufus,,confirmed,scene voice_scene/voice_slot,
1482,6,1297,1170,924,1,7,Heimdall,,confirmed,scene voice_scene/voice_slot,
1483,0,1197,10,1,1,1,Alicia,,confirmed,scene voice_scene/voice_slot,
1483,1,1197,10,2,1,2,Alicia,,confirmed,scene voice_scene/voice_slot,
1483,2,1197,10,24,1,3,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,3,1197,10,3,1,4,Alicia,,confirmed,scene voice_scene/voice_slot,
1483,4,1197,10,33,1,5,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,5,1197,10,34,1,6,Alicia,,confirmed,scene voice_scene/voice_slot,
1483,6,1197,10,31,1,7,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,7,1197,10,,,,,,unmapped,,no subtitle record
1483,8,1197,10,,,,,,unmapped,,no subtitle record
1483,9,1197,10,35,1,8,Alicia,,confirmed,scene voice_scene/voice_slot,
1483,10,1197,10,36,1,9,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,11,1197,10,5,1,10,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,12,1197,10,32,1,11,Alicia,,confirmed,scene voice_scene/voice_slot,
1483,13,1197,10,6,1,12,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,14,1197,10,26,1,13,Alicia,,confirmed,scene voice_scene/voice_slot,
1483,15,1197,10,27,1,14,Silmeria,,confirmed,scene voice_scene/voice_slot,
