resource,einherjar,area
167,Jessica,Royal Underground Passage
167,Richelle,Royal Underground Passage
167,Sylphide,Royal Underground Passage
173,Roland,Royal Underground Passage
173,Kraad,Royal Underground Passage
233,Celes,Serdberg Mountain Ruins
233,Tyrith,Serdberg Mountain Ruins
233,Alm,Serdberg Mountain Ruins
233,Woltar,Serdberg Mountain Ruins
243,Celes,Serdberg Mountain Ruins
243,Tyrith,Serdberg Mountain Ruins
243,Alm,Serdberg Mountain Ruins
243,Woltar,Serdberg Mountain Ruins
253,Phyress,Audoula Temple on the Lake
253,Ehrde,Audoula Temple on the Lake
253,Khanon,Audoula Temple on the Lake
255,Phyress,Audoula Temple on the Lake
255,Ehrde,Audoula Temple on the Lake
255,Khanon,Audoula Temple on the Lake
273,Sophalla,Surts Volcano Caverns
273,Arcana,Surts Volcano Caverns
273,Psoron,Surts Volcano Caverns
273,Farant,Surts Volcano Caverns
283,Sophalla,Surts Volcano Caverns
283,Arcana,Surts Volcano Caverns
283,Psoron,Surts Volcano Caverns
283,Farant,Surts Volcano Caverns
313,Fraudir,Crawsus Forest Ruins
313,Circe,Crawsus Forest Ruins
313,Rasheeka,Crawsus Forest Ruins
313,Falx,Crawsus Forest Ruins
313,Adonis,Crawsus Forest Ruins
319,Fraudir,Crawsus Forest Ruins
319,Circe,Crawsus Forest Ruins
319,Rasheeka,Crawsus Forest Ruins
319,Falx,Crawsus Forest Ruins
319,Adonis,Crawsus Forest Ruins
339,Lwyn,Palace of the Venerated Dragon
339,Crescent,Palace of the Venerated Dragon
339,Gerald,Palace of the Venerated Dragon
339,Guilm,Palace of the Venerated Dragon
339,Ehlen,Palace of the Venerated Dragon
339,Xehnon,Palace of the Venerated Dragon
339,Masato,Palace of the Venerated Dragon
361,Lwyn,Palace of the Venerated Dragon
361,Crescent,Palace of the Venerated Dragon
361,Gerald,Palace of the Venerated Dragon
361,Guilm,Palace of the Venerated Dragon
361,Ehlen,Palace of the Venerated Dragon
361,Xehnon,Palace of the Venerated Dragon
361,Masato,Palace of the Venerated Dragon
371,Lwyn,Palace of the Venerated Dragon
371,Crescent,Palace of the Venerated Dragon
371,Gerald,Palace of the Venerated Dragon
371,Guilm,Palace of the Venerated Dragon
371,Ehlen,Palace of the Venerated Dragon
371,Xehnon,Palace of the Venerated Dragon
371,Masato,Palace of the Venerated Dragon
565,Chrystie,Ancient Forest
565,Sha-kon,Ancient Forest
579,Seluvia,Chateau Obsession
599,Lylia,Turgen Mine
599,Millidia,Turgen Mine
1155,Aaron,Sahma Desert
1155,Dyn,Sahma Desert
1155,Zunde,Sahma Desert
1179,Atrasia,Dragonscrypt
1179,Lydia,Dragonscrypt
1191,Aegis,Sukavia Gorge
