digest,character,evidence
2ee4e822fca7ccc7cccfe08473dcc2e00ed6220b,▪,"a filled box, 9 rows tall against the period's 6 and raised off the baseline; drawn as the list marker in r49 msgs 9, 10, 2763 and 2764 -- ""<>Status Ailments"", ""<>Casting Spells"", ""<>Changing Targets"", ""<>Magic Attributes"". The earlier rejection had the shape right and the usage wrong: it said no record's text uses it, and four do."
caf568a2d2ff24ad60578a614a8a306d3ce4f48e,",","r39 msg 2217 renders ""At times<> a dream becomes real"" and ""Hence<> this new life""; the Soul Street fingerprint calls it '.' and the real period is 63b97a9d"
ee4f636c81b18e4e62412634fecb554563ec68da,Z,"r39 renders ""but never fear! <>unde's here!""; the Soul Street fingerprint calls it '2' and the real digit is c4151456"
96ea8d8ea46813b3ff923551adae2304e8871dc2,,"the ornate chapter-title face, not the subtitle face: atlas r1313 slot 54 of 59, in the trailing slots the display face occupies. Ink 28 columns wide and rows 0-25, matching the display face's own 'a' (r61 slot 9, 28 wide, rows 5-25) and nothing in the subtitle set, whose widest is 18. It is the only atlas character carried by a single scene, so no second scene corroborates it; the digest is absent from vp2-chapter-title-face.csv only because the cribs never spelled an accented capital"
b55203491e72e58c85799e4ac551e016ef660a75,;,"the fingerprints call it a second ':'. Its lower mark descends below the baseline where the colon's sits on it as a square dot, and every line that draws it joins two independent clauses: r39 msg 2217 ""A dream is a dream<> a vision is a vision"" and ""a dream becomes real<> a vision solidifies"", msg 2288 ""died of an illness<> in other words"". The real colon (3e617a22a936) draws ""repeat after me<>"" and ""learned in the past<>"". Before this the pool reported ';' as having no art on the disc."
247a72215612722f2cde0c87cc249599b2c3b1ea,G,the end-credits face.
e6ea9271c80a148a1b437065ce8ef0e0052feff5,a,the end-credits face.
be58c23ce99f25e3e35064382359ad996dee436d,m,the end-credits face.
2fbb279863a11f71673980686ce63a253bcf4d4a,e,the end-credits face.
7aeae9bc21885be7c7fe2cae0dc68b9e745c31f4, ,the end-credits face.
0d548c96bc0ff3792113517ff8f28a2393b21950,D,the end-credits face.
bff4d09f6a1a6d478684452eb5d63e737a3f37a6,s,the end-credits face.
506485e9deee165fe381095095f6b6ba3296be02,i,the end-credits face.
f945f40dbd1c1fac31e918ef344a98c255585056,g,the end-credits face.
da0414f30b8916989a60a68c1d43a0329cf185b2,n,the end-credits face.
d41cda5091a2f145dbb607b98274f34c2118e3bd,r,the end-credits face.
024d2483aed9aadbd65ea898666807cf65bdb11d,M,the end-credits face.
55aa07629fc30b141cf06f7b78a6a1a73c554e31,a,the end-credits face.
0b14f1a5636061a5aa5c76d0a7377a657f3d47f5,s,the end-credits face.
83c18083edbdc5c4f28e719ede42bdcbd94df2cd,k,the end-credits face.
e9b1b4d2f5af3df6fdad479535f559e40c0d886e,i,the end-credits face.
730f939f5c8de59b39ce23dc3012541ca4908f44,N,the end-credits face.
73f7610fe3f59b7e40859cd8f739432a2c766dd0,o,the end-credits face.
ba06b0b2ea7fea6fb52e514f6c51897c373c0c0d,r,the end-credits face.
215c0c8eb379b8848afa2ab867a14376ecac2aff,m,the end-credits face.
4c6aad49ad5b7d0db34048bf6c8624355dc85fb8,t,the end-credits face.
e6d3f1c18bdbc9fa6ca47f37c739a0a6cc871571,L,the end-credits face.
958e24443cca80902faa487affc4497ef734136f,d,the end-credits face.
485c381f9ba0542726330db6c4921e09eced9204,P,the end-credits face.
88bbe04b7c739fcc37ed7207676639099b746cdd,o,the end-credits face.
59220670f20c8f23592d1d6d3561ff69508f37cb,S,the end-credits face.
32ce426ce5a57aad376301d5688230675eeb61a2,h,the end-credits face.
