resource,file,note
10,fis-0010-slz-0x2D04-4CE80.png,
10,fis-0010-slz-0x2D04-55180.png,
10,fis-0010-slz-0x2D04-8BC00.png,
24,fis-0024-slz-0x437C0-0.png,
30,fis-0030-slz-0xD0AD8-400.png,
656,fis-0656-slz-0x0-0.png,
657,fis-0657-slz-0x0-0.png,
658,fis-0658-slz-0x0-0.png,
659,fis-0659-slz-0x0-0.png,
660,fis-0660-slz-0x0-0.png,
662,fis-0662-slz-0x0-0.png,
663,fis-0663-slz-0x0-0.png,
664,fis-0664-slz-0x0-0.png,
665,fis-0665-raw-10.png,
666,fis-0666-slz-0x0-0.png,
667,fis-0667-slz-0x0-0.png,
669,fis-0669-slz-0x0-0.png,
671,fis-0671-slz-0x0-0.png,
672,fis-0672-slz-0x0-0.png,
673,fis-0673-slz-0x0-0.png,
674,fis-0674-slz-0x0-0.png,
675,fis-0675-slz-0x0-0.png,
676,fis-0676-slz-0x0-0.png,
677,fis-0677-slz-0x0-0.png,
678,fis-0678-slz-0x0-0.png,
679,fis-0679-slz-0x0-0.png,
680,fis-0680-slz-0x0-0.png,
681,fis-0681-slz-0x0-0.png,
682,fis-0682-slz-0x0-0.png,
683,fis-0683-slz-0x0-0.png,
684,fis-0684-slz-0x0-0.png,
1721,fis-1721-decrypted-slz-0x0-80.png,Battle victory labels
1781,fis-1781-unprotected-slz-0x1826C0-0.png,
1781,fis-1781-unprotected-slz-0xDD740-90680.png,
1781,fis-1781-unprotected-slz-0xDD740-94A00.png,
1781,fis-1781-unprotected-slz-0xDD740-98C80.png,Guard Break banner
1781,fis-1781-unprotected-slz-0xDD740-9AF00.png,In-Battle Character Name Fonts
1781,fis-1781-unprotected-slz-0xDD740-A1700.png,
