resource,message_id,speaker,evidence
1299,734,Freya,community audition
1337,1255,Lezard,community audition
1337,1256,Lezard,community audition
1337,1257,Lezard,community audition
1337,1258,Alicia,community audition
1337,1259,Alicia,community audition
1337,1260,Lezard,community audition
1337,1261,Lezard,community audition
1337,1262,Lezard,community audition
1337,1263,Arngrim,community audition
1337,1264,Lezard,community audition
1337,1265,Lezard,community audition
1337,1266,Lezard,community audition
1337,1267,Rufus,community audition
1337,1273,Brahms,community audition
1337,1268,Brahms,community audition
1337,1274,Lezard,community audition
1337,1276,Lezard,community audition
1337,1271,Lezard,community audition
1337,1,Barbarossa,community audition
1337,2,Arngrim,community audition
1337,7,Barbarossa,community audition
1337,4,Dallas,community audition
1337,21,Walther,community audition
1337,22,Walther,community audition
1337,28,Dallas,community audition
1337,24,Barbarossa,community audition
1337,8,Arngrim,community audition
1337,9,Hrist,community audition
1337,10,Arngrim,community audition
1337,11,Hrist,community audition
1337,12,Arngrim,community audition
1337,13,Hrist,community audition
1337,14,Hrist,community audition
1337,15,Hrist,community audition
1337,16,Alicia,community audition
1337,17,Barbarossa,community audition
1337,25,Dallas,community audition
1337,19,Hrist,community audition
1337,26,Hrist,community audition
