resource,name,role,area
1219,Mithra,join,
1223,Antique Pendant,item,
1223,Dylan,join,
1233,Ghoul Powder,item,
1239,Lezard,join,
1245,Arngrim,join,
1245,Leone,join,
1303,Arngrim,join,
1307,Lezard,join,
1313,Dragon Orb,item,
1313,Water Mirror,item,
1313,Brahms,join,
1313,Hrist,join,
1317,Silmeria,join,
1351,Lenneth,join,
1339,Hrist,join,Seraphic Gate
1339,Lenneth,join,Seraphic Gate
1339,Silmeria,join,Seraphic Gate
1341,Lezard,join,Seraphic Gate
1343,Freya,join,Seraphic Gate
1345,Dylan,join,Seraphic Gate
1345,Leone,join,Seraphic Gate
1347,Valkyrie,join,Seraphic Gate
