resource,first_id,last_id,reclaim,reason
1387,1,65535,no,resource never loaded
1311,2734,2736,no,alternate lines not shown in game; drawn in 1361
1361,1646,1648,no,alternate lines not shown in game; drawn in 1311
1311,2763,2764,no,names this scene never draws
1149,1,165,yes,cutscene never plays; message 166 kept
1149,167,168,yes,labels never drawn
189,1,1,yes,unused copy
189,2335,2339,yes,debug placeholders
189,2581,2628,yes,no einherjar materializes here
189,2747,2826,yes,no einherjar materializes here
