english,japanese,pt-BR,sv-SE
Ancient Forest,蒼枯の森,Floresta Antiga,Uråldriga skogen
Asgard,アスガルド,Asgard,Asgård
Audoula Temple on the Lake,アウドゥーラ水上神殿,Templo de Audoula no Lago,Audoulas tempel på sjön
Chateau Obsession,昏き妄執の館,Chateau Obsession,Chateau Obsession
Coriander,コリアンドル村,Coriander,Coriander
Crawsus Forest Ruins,クローサス森林遺跡,Ruínas da Floresta Crawsus,Crawsus skogsruiner
Crell Monferaigne,クレルモンフェラン,Crell Monferaigne,Crell Monferaigne
Dipan,ディパン,Dipan,Dipan
Dipan Castle,ディパン城,Castelo de Dipan,Dipans slott
Dragonscrypt,竜の墓場,Cripta do Dragão,Drakens gravkammare
Forest of Spirits,精霊の森,Floresta dos Espíritos,Andernas skog
Kalstad,カルスタッド,Kalstad,Kalstad
Kythena Plains,キセナ草原,Planícies de Kythena,Kythenas slätter
Lost Forest,喪失の森,Floresta Perdida,Den förlorade skogen
Palace of the Venerated Dragon,奉竜殿,Palácio do Dragão Venerado,Den vördade drakens palats
Royal Underground Path,王家の地下道,Passagem Subterrânea Real,Kungliga underjordiska gången
Sahma Desert,サーマ砂漠,Deserto de Sahma,Sahmaöknen
Seraphic Gate,セラフィックゲート,Portal Seráfico,Serafiska porten
Serdberg Mountain Ruins,セルドベルグ山岳遺跡,Ruínas do Monte Serdberg,Serdbergs bergsruiner
Solde,ゾルデ,Solde,Solde
Sukavia Gorge,スカビア渓谷,Desfiladeiro de Sukavia,Sukavias klyfta
Surts Volcano Caverns,スルス火山洞窟,Cavernas do Vulcão Surts,Surts vulkangrottor
Tower of Lezard Valeth,レザード・ヴァレスの塔,Torre de Lezard Valeth,Lezard Valeths torn
Turgen Mine,トゥルゲン鉱山,Mina de Turgen,Turgengruvan
Villnore,ヴィルノア,Villnore,Villnore
Yggdrasil,ユグドラシル,Yggdrasil,Yggdrasil
Ravine Caverns,狭間の洞窟,Cavernas da Ravina,Klyftans grottor
Hall of Valhalla,ヴァルハラ宮殿,Salão de Valhalla,Valhallasal
Paltierre,パルティア公国,Paltierre,Paltierre
