english,japanese,pt-BR,sv-SE
Aesir,アース神族,Aesir,Aesir
einherjar,エインフェリア,einherjar,einherjar
Lord,,Lorde,Herre
Lord of the Undead,不死者王,Senhor dos Mortos Vivos,De odödas herre
Midgard,ミッドガルド,Midgard,Midgård
OTH,OTH,OTH,OTH
Soul Street,ソール通り,Rua da Alma,Själsgatan
Sovereign's Rite,王呼の秘法,Rito Soberano,Suveränens rit
Undead,不死者,Morto Vivo,Odead
Nifleheim,ニブルヘイム,Nifleheim,Nifelheim
Valhalla,ヴァルハラ,Valhalla,Valhalla
Bifrost,ビフレスト,Bifrost,Bifrost
Four Treasures,四宝,Quatro Relíquias,De fyra skatterna
Ragnarok,ラグナロク,Ragnarok,Ragnarök
Sealstone,封印石,Pedra de Selo,Segelsten
Mist of Nifleheim,ニブルヘイムの霧,Névoa de Nifleheim,Nifelheims dimma
