resource,message_id,translated,notes
10,1,,
10,0,,
10,2,,
10,3,,
10,4,,
10,5,,
10,6,,
10,7,,
10,10,,
10,11,,
10,90,,
10,100,,
10,101,,
10,102,,
10,1000,,
10,1001,,
10,1002,,
10,1003,,
10,1004,,
10,1005,,
10,1006,,
10,1007,,
10,1008,,
10,1009,,
10,1010,,
10,1011,,
10,1012,,
10,1013,,
10,1014,,
10,1015,,
10,1016,,
10,2000,It's coming...,
10,2001,...What is it?,
10,2002,You can't tell!?,
10,2003,"...How do you know?
                                 I don't understand at all...",
10,2004,"If she says it's coming, it's coming!",
10,2005,That's right!,
10,2006,"...Now, open your eyes,",
10,2007,Alicia...,
10,2008,Run! Get out of the castle!,
10,2010,"This way, hurry!",
10,2011,Let's go!,
10,2012,Hurry!,
10,2013,I know! Don't rush me!,
10,2014,That way!,
10,2015,"Silmeria, come back!",
10,2016,I...,
10,2017,...will not return to Valhalla!,
10,2019,You would defy Lord Odin's command to the end...,
10,2020,...Very well.,
10,2021,Be warned<808A:000080400000803F>-<808B>I cannot guarantee Dipan's safety.,
10,2022,Thank you...,
10,2023,...There is no turning back now.,
10,2024,Yes...,
