resource,message_id,translated,notes
1389,1,,
1389,2,"Rebirth and summoning, repeated again
and again. The annihilation of the soul
is an extension of that as well...",
1389,3,That is what is called causality.,
1389,4,,
1389,5,,
1389,6,"I was reborn into your body
to witness your bravery at this very moment...",
1389,7,I have a feeling...,
1389,15,"An incompetent human who is merely
a princess absorbed my Lenneth, and on top of that...",
1389,14,"...has thrown into disarray the history
I rewrote with meticulous calculation...",
1389,11,Unforgivable!,
1389,13,Prepare yourself!,
1389,12,A... Alicia...,
1389,8,,
1389,9,,
1389,10,,
1389,2741,,
1389,2742,,
1389,2743,,
1389,2744,,
1389,2745,,
1389,2746,,
