resource,message_id,translated,notes
1277,1,Está aqui!,
1277,2,Aqui está <PART> ---- <PART> o Orbe do Dragão.,
1277,3,Então...,
1277,4,Sim.,
1277,5,,
1277,6,,
1277,43,O orbe pertence a Odin!,
1277,7,Não me faça matar Alicia!,
1277,8,Então era tudo mentira.,
1277,9,"( Era disso que você me avisou, Silmeria? )",
1277,10,"( Desculpe, eu deveria ter percebido... )",
1277,11,"Leone, o que você está fazendo?",
1277,12,Hrist Valquíria!?,
1277,13,Então você estava me enganando!?,
1277,14,Agradeça por poder ajudar nos planos dos deuses.,
1277,15,Agradecer!?,
1277,16,Pare!,
1277,17,"Não, espere!",
1277,44,,
1277,18,"Se meu chefe vai me passar a perna, não hesito em acertar as contas!",
1277,19,O jeito do mercenário.,
1277,20,"Arngrim, venha comigo.",
1277,21,Essa será a sua recompensa.,
1277,22,Você está de brincadeira? Por que eu iria com você?,
1277,23,Vamos levar Arngrim.,
1277,24,"Você pode subjugar a carne dele pela força, mas não conseguirá prender o espírito dele.",
1277,25,"Lenneth poderia concordar, mas eu obedeço apenas a Odin.",
1277,26,Sabe que o einherjar que se rebelou contra Odin ainda o enfrenta como um dos mortos-vivos.,
1277,27,"Porque você não o impediu, Silmeria!",
1277,28,Não sou tão mole a ponto de não dar conta de um mercenário.,
1277,29,"Vale mais você voltar logo para Valhalla, antes de incorrer na ira de Odin.",
1277,30,Pare... Não...!,
1277,31,O que diabos aconteceu?,
1277,32,"Por favor, perdoem-me. Isso foi imprudente.",
1277,33,"Não posso lutar em igualdade com ela, não enquanto estou presa neste corpo.",
1277,34,"Embora soubesse que era Hrist o tempo todo, eu não sabia o que fazer.",
1277,35,"No momento em que segurei o orbe, minha
mente ficou em branco <PART> ---- <PART> talvez a mente de Alicia
tomasse conta.",
1277,36,Pelo menos podia ter retomado o orbe em vez de ficar aí parada!,
1277,37,Não havia nada que ela pudesse fazer.,
1277,38,"Se julgasse necessário, ela teria incendiado o palácio com o orbe.",
1277,39,Você fez tudo o que podia naquela situação.,
1277,53,Sinto muito.,
1277,40,( Hrist poupou a sua vida. ),
1277,41,( Ainda pode haver esperança para a gente. ),
1277,54,"Agora que têm o orbe, os deuses logo virão em massa esmagar Dipan.",
1277,49,"Se você está disposta a correr esse risco, eu a protegerei com as minhas forças.",
1277,50,O mesmo vale para mim!,
1277,51,"( Tenha coragem, Alicia. )",
1277,42,Vamos.,
1277,45,Voltar de rabo entre as pernas para Dipan e começar tudo de novo?,
1277,46,Acredito que não temos outra saída. Senhora Silmeria?,
1277,47,"Eles querem a sua alma. Ao atacar Dipan, estarão armando uma armadilha.",
1277,48,Então teremos que cair nela mesmo...,
1277,52,Não acredito. Leone era uma valquíria...,
1277,55,"Se eu não impedir que o orbe caia nas mãos de tolos mortais, as coisas serão muito piores.",
1277,56,Você não pensa antes de agir?,
1277,57,Hrist Valquíria estava determinada.,
1277,2752,,
1277,2753,,
1277,2754,,
1277,2755,,
1277,2756,,
1277,2757,,
1277,2758,,
1277,2759,,
