key,translated,offset_x,notes
battle_target,"Alvo",,Floating label above the selected enemy
battle_name_01,,,Silmeria
battle_name_02,,,Brahms
battle_name_03,,,Rufus
battle_name_04,,,Lezard
battle_name_05,,,Arngrim
battle_name_06,,,Dylan
battle_name_07,,,Leone
battle_name_08,,,Hrist
battle_name_09,,,Lenneth
battle_name_0A,Valquiria,,Valkyrie
battle_name_0B,,,Alicia (first form)
battle_name_0C,,,Alicia (second form)
battle_name_0D,,,Freya
battle_name_0E,,,Ull
battle_name_0F,,,HeimdallL
battle_name_10,,,Lwyn
battle_name_11,,,Jessica
battle_name_12,,,Richelle
battle_name_13,,,Fraudir
battle_name_14,,,Celes
battle_name_15,,,Crescent
battle_name_16,,,Sylphide
battle_name_17,,,Tyrith
battle_name_18,,,Circe
battle_name_19,,,Rasheeka
battle_name_1A,,,Falx
battle_name_1B,,,Gerald
battle_name_1C,,,Guilm
battle_name_1D,,,Roland
battle_name_1E,,,Ehlen
battle_name_1F,,,Adonis
battle_name_20,,,Aaron
battle_name_21,,,Dyn
battle_name_22,,,Kraad
battle_name_23,,,Zunde
battle_name_24,,,Atrasia
battle_name_25,,,Phyress
battle_name_26,,,Chrystie
battle_name_27,,,Sha-kon
battle_name_28,,,Lylia
battle_name_29,,,Lydia
battle_name_2A,,,Sophalla
battle_name_2B,,,Millidia
battle_name_2C,,,Arcana
battle_name_2D,,,Ehrde
battle_name_2E,,,Mithra
battle_name_2F,,,Aegis
battle_name_30,,,Psoron
battle_name_31,,,Khanon
battle_name_32,,,Farant
battle_name_33,,,Xehnon
battle_name_34,,,Alm
battle_name_35,,,Seluvia
battle_name_36,,,Masato
battle_name_37,,,Woltar
battle_status_00,Silêncio,,Silence
battle_status_01,Petrificação,,Stone
battle_status_02,Maldição,,Curse
battle_status_03,Desmaio,,Faint
battle_status_04,Congelamento,,Frozen
battle_status_05,Paralisia,,Paralysis
battle_status_06,Veneno,,Poison
battle_status_07,Confusão,,Confusion
battle_status_08,Fraqueza,,Frailty
battle_status_09,Transferir,,Transfer
battle_status_0A,ArmaQuebrada,,WeaponBroken
battle_status_0B,Sobreviveu,,Survived
battle_status_0C,Reanimar,,Revive
battle_status_0D,StatusAlto,,StatusUp
battle_status_0E,StatusBaixo,,StatusDown
battle_status_0F,ResistênciaAlta,,ResistanceUp
battle_status_10,RecuperarTransferência,,RecoverTransfer
