resource,message_id,translated,notes
10,1,,
10,0,,
10,2,,
10,3,,
10,4,,
10,5,,
10,6,,
10,7,,
10,10,,
10,11,,
10,90,,
10,100,,
10,101,,
10,102,,
10,1000,,
10,1001,,
10,1002,,
10,1003,,
10,1004,,
10,1005,,
10,1006,,
10,1007,,
10,1008,,
10,1009,,
10,1010,,
10,1011,,
10,1012,,
10,1013,,
10,1014,,
10,1015,,
10,1016,,
10,2000,Fara.,
10,2001,Från vad?,
10,2002,Kan du inte se det?,
10,2003,"Hur vet du?
                                 Jag känner ingenting.",
10,2004,"Om hon säger att vi är i fara, så är vi det!",
10,2005,Han har rätt!,
10,2006,"Öppna ögonen,",
10,2007,Alicia.,
10,2008,Spring! Fly från slottet!,
10,2010,"Den här vägen, snabbt!",
10,2011,Skynda dig!,
10,2012,Snabbt!,
10,2013,Jag vet! Skynda inte på oss!,
10,2014,Dit borta!,
10,2015,"Silmeria, återvänd genast!",
10,2016,Jag ska inte...,
10,2017,Jag ska inte återvända till Valhall!,
10,2019,Du kommer att vara olydig Oden till ditt sista andetag.,
10,2020,Så må det vara.,
10,2021,Men var varnad<808A:000080400000803F>-<808B>Dipan kommer inte att skonas.,
10,2022,Tack.,
10,2023,Det finns ingen återvändo nu.,
10,2024,Nu går vi...,
