resource,message_id,translated,notes
641,1495,"En särskilt stor fladdermusvinge.
Formen påminner om en mantel.",
641,1496,"En vass klo som sticker ut från den våldsamma grips
vinge.",
641,1497,"Vass näbb från en jättelik rovfågel.
En enda attack gör hål i metallrustning.",
641,1498,"Slingrande vinrankor graverade i silver.
Ingen antydan om vad de en gång ramade in.",
641,1499,"En spegel som påminner om en lugn sjöyta.
Så klar att den ser ut att gå att sticka fingrarna i.",
641,1500,Metalldel formad som nyutspruckna växtknoppar.,
641,1501,Växtfrö som innehåller ett kraftigt gift.,
641,1502,"En liten skör blomma.
Bara att se på den lugnar hjärtat.",
641,1503,"Perenn med trumpetformad blomma.
Blomman symboliserar oskuld.",
641,1504,"Otaliga blommor blommar på denna bergsblomma.
Den symboliserar lycka.",
641,1505,"Denna blomma symboliserar uthållighet. En vacker blomma känd
för sina svärdformade blad och stjälk.",
641,1506,"Figurin i en gullig pose originalet aldrig skulle slå.
Bärnstensversionen är den ultrarara samlarutgåvan.",
641,1507,"Figurin i en gullig pose originalet aldrig skulle slå.
Metallversionen är den vanligaste.",
641,1508,"Figurin i en gullig pose originalet aldrig skulle slå.
Kristallversionen står utan stativ.",
641,1509,"Ett märkligt smycke med inskriften:
""Bär detta för att avslöja den dolda sanningen.""",
641,1510,"Högkvalitativt, väldoftande trä.
Dess lugnande effekt sägs lindra stress.",
641,1511,Den sällan skådade handflatan hos en drake.,
641,1512,"En bronsfigurin som föreställer en livlig, sprallig ung häst.",
641,1513,"En liten keramikkyckling. Ett måste som souvenir
från västra Midgård.",
641,1514,"En känslig bi, fint utformad i silver.
Ögonen är rubiner.",
641,1515,Ett hisnande armband med inlagda smaragder.,
641,1516,En antik kopparhandspegel.,
641,1517,En billig utseende bronsspegel.,
641,1518,"En liten blå docka som ryms i handflatan.
Dess mikroskopiska detaljrikedom är oroande.",
641,1519,En liten jadefigurin av två lekande kattungar.,
641,1520,Rubinörhänge format som frukten.,
641,1521,"Ett hårspänne med en blå sten slipad att likna ett
ädle.",
641,1522,"En sliten antikvitet.
Tros vara något slags festivalkärl.",
641,1531,"Vanligt, utbrett skyddstyg gjort av tyg.",
641,1532,Benskydd som används av högt uppsatta riddare.,
641,1533,Stövlar av garvat läder.,
641,1534,Stövlar fyllda med magisk kraft.,
641,1535,"Arbetarnas favoritstövlar.
Hållbara och lätta att röra sig i.",
641,1536,"Amulett funnen i Surts grottor. Blodet döljer den ursprungliga
färgen, men den verkar handgjord.",
641,1537,"Handske som föredras av lojala riddare.
Begränsar rörelse, men förbättrar försvaret kraftigt.",
641,1541,"Järnhandske med en mäktig krigares namn.
Har starkt motstånd mot mörkerattacker.",
641,1543,"Rustning som rymmer all visdom.
Denna skinande rustning skyddar bäraren mot alla attacker.",
641,1544,"Cosplaytröja för kobolder, inspirerad av Odins kläder.
Liten.",
641,1545,"Tejp med klister på båda sidor, utan tvivel använd för att hålla
en peruk på plats.",
641,1546,"Den här snygga pe...öh, hårprydnaden garanterar visdom och lycka
åt den som bär den.",
641,1547,"Lansformad sak gjord av plywood.
En fejkad Gungnir, men bra att kasta.",
641,1548,"En alldeles vanlig bambustång.
Inte särskilt häftig.",
641,1549,En fyllnadsmojäng för en fylligare look.,
641,1550,"Frejas filthatt.
Fint sydd, men täckt av hår.",
641,1551,"En överdimensionerad glasboll.
På en stjärna inuti står det ""Villnores handelskammare"".",
641,1552,"Cosplaytröja för kobolder, inspirerad av valkyrjearmor.
Liten.",
641,1553,"Sinnessjukt tung lans av pressgjuten metall.
En kuslig nitistik för detaljer är uppenbar.",
641,1554,"En långstav snidad av cypress.
Eller det sägs.",
641,1555,"Självhjälpsmanual full av klisterlappar.
Titel: ""Att leda och bli älskad"".",
641,1556,"Ett tråkigt gammalt järnrör... Vänta, ett rör?",
641,1557,"Femuddigt hänge som bevisar att man besegrat himlens
mäktigaste gnagare.",
641,1558,"Utomordentligt vanlig solrosfrö.
En läckerbit.",
641,1559,"Järnhandske med lyckosymbolen graverad. Riktigt
tacky. Sägs framkalla mirakel.",
641,1560,"Hjälm med symbolen för magisk undkomlighet ingraverad. Visserligen svag
fysiskt, men med remarkabelt motstånd mot magi.",
641,1561,"Silverarbete av en orm som biter sin egen svans.
Rubiner sitter i ögonhålorna.",
641,1562,En kuriös koboldperuk. Sägs innehålla en annan slags själ.,
641,1563,Ett hänge graverat med Dipans kungliga vapen.,
641,1564,En representativ lökgröda. Vit och lång.,
641,1565,Ett tungt stålhårband. Ser väldigt ut som Alicias.,
641,1566,"Vit smutsig t-shirt med Rufus kläder ritade på.
Förmodligen något inskämt.",
641,1567,"Konstig medalj, handgjord genom att klistra silverpapper på kartong.
Vad är det här för något?",
641,1568,"Röd bandana med texten ""Spring som den blåste"" av någon
anledning. Påminner om en Rufus tappade för ett tag sedan.",
